Date,Location,Operator,Aboard,Fatalities,Summary
"Date:December 11, 2000","Location:Near Sumacal, Beni, BO",Operator:Servicio Aereo Manchupo,Aboard:6   (passengers:5  crew:1),Fatalities:6   (passengers:5  crew:1),"Summary:Destabilized approach, attempted to establish runway alignment, insufficient altitude, struck a tree. The aircraft crashed and caught fire."
"Date:January 04, 2002","Location:Birmingham, England",Operator:Agco Corp,Aboard:5   (passengers:3  crew:2),Fatalities:5   (passengers:3  crew:2),"Summary:After taking off, banked to the left, wing contacted ground, a fire erupted and the aircraft broke up. Failure of the crew to de-ice the wings before takeoff. Possible impairment of crew performance by the combined effects of a non-prescription drug, jet-lag and fatigue were also considered factors."
"Date:January 09, 2002","Location:Shamsi AFB, Pakistan",Operator:Military - U.S. Air Force,Aboard:7   (passengers:0  crew:7),Fatalities:7   (passengers:0  crew:7),Summary:While on approach the aircraft struck a hill a few hundred feet short of runway in poor weather.
"Date:January 14, 2002","Location:Bilbao, Spain",Operator:Ibertrans Area,Aboard:3   (passengers:0  crew:3),Fatalities:3   (passengers:0  crew:3),"Summary:While descending, the cargo plane struck Mount Santa Maria Vieja, 35 km from the airport in fog and poor visibility."
"Date:January 15, 2002","Location:Chilpancingo, Mexico",Operator:Procuradura General de la Repblica,Aboard:17   (passengers:15  crew:2),Fatalities:5   (passengers:5  crew:0),"Summary:During a landing attempt at Chilpancingo, the aircraft left the runway, struck a concrete perimeter wall, overturned and burned. The government plane belonged to the General Office of the judge advocate."
"Date:January 16, 2002","Location:Near Solo, Indonesia",Operator:Garuda Indonesia Airlines,Aboard:62   (passengers:54  crew:8),Fatalities:1   (passengers:0  crew:1),"Summary:The aircraft suffered a flame out of both engines in torrential rains while on approach  to Yogyakarta. The crew made an emergency landing in the Bengawan Solo River, in shallow water. The plane circled several times before diving in a steep course towards the river. The plane's left wing struck a river bank before it plunged into the water. The reason the crew flew into extreme weather was the heavy rain and hail was shadowed on the radar and blocked from radar view. In addition, the airplane had a partially failed battery which was exhausted by two attempts to restart the engines, producing a total electrical failure. A flight attendant drowned in the shallow water when she jumped from the plane."
"Date:January 17, 2002","Location:Near La Bonita, Ecuador",Operator:Petroproduccin,Aboard:26   (passengers:21  crew:5),Fatalities:26   (passengers:21  crew:5),"Summary:The plane crashed into del cerro El Tigre mountain in the jungles of the Amazon at an elevation of 14,700 ft.  The 35 minute flight was transporting oil workers to a remote oil field."
"Date:January 27, 2002","Location:Near Luena, Angola",Operator:Military - Angolan  Air Force,Aboard:40   (passengers:34  crew:6),Fatalities:5   (passengers:3  crew:2),Summary:Crashed 2km short of the runway  from the Luena Airport while attempting to land in heavy rain.
"Date:January 28, 2002","Location:Near Ipiales, Colombia",Operator:TAME,Aboard:92   (passengers:83  crew:9),Fatalities:92   (passengers:83  crew:9),"Summary:The airliner crashed into the fogbound 15,721 ft. Nevado de Cumbal volcano, in the Andes mountains, near the Ecuador / Colombian border. Air traffic control lost contact with the plane as it circled into Colombian territory to maneuver around snow capped mountain peaks and return to the Ecuadorian border city of Tulcn. The pilot's decision to initiate and continue the flight towards Tulcn Airport while below minimum meteorological conditions established in the company's standard operating procedure.  Inadequate navigation and operation of the aircraft by the pilot in command consistent with entering the holding pattern at the Tulcn NDB with a velocity of 230 knots indicated and with a bank angle of 15 degrees, exceeding the maximum limit of 180 knots stipulated throughout the procedure, and using a bank angle inferior to the recommended 25 to 30 degrees, thereby departing holding pattern obstacle protection, leading to a collision against the Cumbal Volcano."
"Date:February 12, 2002","Location:Near Khorramabed, Iran",Operator:Iran Air Tours,Aboard:117   (passengers:108  crew:9),Fatalities:117   (passengers:108  crew:9),Summary:Crashed against the side of a mountain in heavy fog in the Sefid Kouh mountain range while on approach to Khorramabad. The plane was totally destroyed and scattered in small pieces across the mountain. Pilot error.
"Date:February 15, 2002","Location:Monrovia, Liberia",Operator:Tiramavia,Aboard:10   (passengers:3  crew:7),Fatalities:1   (passengers:0  crew:1),Summary:The cargo plane crashed while attempting to make an emergency landing.
"Date:February 21, 2002","Location:Lakhta, Russia",Operator:Military - Russian Navy,Aboard:20   (passengers:12  crew:8),Fatalities:17   (passengers:12  crew:5),"Summary:The plane was making an emergency landing after two previous attempts in heavy snow and strong winds when it clipped treetops and crashed into a field, approximately 1.5km short of the runway."
"Date:February 22, 2002","Location:Off Dumaguete, Philippines",Operator:Military - U.S. Army,Aboard:10   (passengers:4  crew:6),Fatalities:10   (passengers:4  crew:6),"Summary:A helicopter ferrying U.S. troops in a counter-terrorism exercise, crashed into the sea, 30 minutes before its scheduled arrival at Mactan Island. The helicopter was flying in tandem with another U.S. Army Chinook when it crashed."
"Date:March 09, 2002","Location:Monte Rotondo, Italy",Operator:Svedijos Preks,Aboard:3   (passengers:1  crew:2),Fatalities:3   (passengers:1  crew:2),"Summary:While en route the cargo plane impacted the side of a mountain at an altitude of 6,167 ft.  Pilot error. The crew did not conform to the VFR that required a track change to maintain the required flight parameters and/or a diversion to a suitable alternate airport."
"Date:March 14, 2002","Location:Near Placetas, Cuba",Operator:Charter - Aerotaxi,Aboard:17   (passengers:15  crew:2),Fatalities:17   (passengers:15  crew:2),"Summary:While en-route, 35 minutes into the flight, the bi-plane crashed near Santa Clara. The plane was seen spinning out of control before it hit the ground. A strong gust of wind, possibly a small tornado, tore off the top part of the left wing."
"Date:March 17, 2002","Location:Off Djibouti, Republic of Djibouti",Operator:Djibouti Airlines,Aboard:4   (passengers:0  crew:4),Fatalities:4   (passengers:0  crew:4),Summary:The cargo plane crashed into the ocean while on approach to Runway 27.
"Date:April 12, 2002","Location:Palma de Mallorca, Spain",Operator:Tadair,Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),Summary:The cargo plane crashed into lights near the runway threshold while attempting to land on Runway 24L.
"","","","","",""
"Date:April 19, 2002","Location:Popayn, Colombia",Operator:SELVA Colombia,Aboard:8   (passengers:5  crew:3),Fatalities:3   (passengers:3  crew:0),"Summary:The plane was being used by the Penitentiary and Prison National Institute, Inpec, to fly prisoners from Medelln to Popayn. The aircraft had just finished flying 50 prisoners to Popayn when it took off from Popayn to pick up more prisoners. The aircraft nosed into the ground shortly after becoming airborne."
"Date:April 28, 2002","Location:Near Abakan, Russia",Operator:Private,Aboard:20   (passengers:17  crew:3),Fatalities:8   (passengers:6  crew:2),"Summary:The helicopter struck power lines and crashed in near-zero visibility. Governor of Krasnoyarsk territory, Alexander Lebed, 52, was among those killed. ""Power line, power line!"" were the last words of the pilot. Thick fog concealing a frost-covered power line led to the helicopter crash."
"Date:May 04, 2002","Location:Kano, Nigeria",Operator:EAS Airlines (Executive Airline Services),Aboard:77   (passengers:69  crew:8),Fatalities:74   (passengers:67  crew:7),"Summary:The aircraft crashed into houses, two mosques and a school in the densely populated neighborhood of Gwammaja, approximately  1.2 miles from Kano International Airport, shortly after taking off. There were reports of an engine failure and  fire during the takeoff. Prior to the fatal crash, the aircraft involved in the incident had been grounded on two previous occasions to perform engine maintenance."
"Date:May 07, 2002","Location:Near Tunis, Tunisia",Operator:EgyptAir,Aboard:62   (passengers:56  crew:6),Fatalities:14   (passengers:11  crew:3),"Summary:The jet airliner crashed into a hillside, 4 miles from the Tunis-Carthage airport, as the pilot attempted to make a landing. The plane's landing gear had failed to open during the approach into Tunis-Carthage airport and the pilot had made another circuit before attempting a fresh landing when the plane crashed in heavy rain and high winds. The accident was attributed to the rough weather conditions and the pilot's inability to deal with the situation."
"Date:May 07, 2002","Location:Off Dalian, China",Operator:China Northern Airlines,Aboard:112   (passengers:103  crew:9),Fatalities:112   (passengers:103  crew:9),"Summary:The MD-82 crashed into the Dalian Bay, 12 miles east of Dalian airport. The pilot reported a fire aboard the aircraft and the cabin lights were out prior to the plane impacting the water.  The accident was caused by an act of sabotage by a passenger who lit a fire  using gasoline in the cabin. He had bought multiple insurance policies before boarding the flight."
"Date:May 21, 2002","Location:Near Calabar, Nigeria",Operator:Sky Executive Air Services,Aboard:5   (passengers:0  crew:5),Fatalities:5   (passengers:0  crew:5),"Summary:The plane crashed approximately 12 miles from Calabar while attempting to land. All passengers departed at Port Harcourt and only a crew of 5 was aboard. The premature departure of the plane from the normal minimum safe altitude of 2,500 ft. without air traffic controller's clearance until it flew into the terrain. Other contributing factors were the emergence of electrical problem on the aircraft at the commencement of the approach which might have distracted the  pilot  and unfavorable weather conditions of low ceiling and thunderstorms which impaired visibility at the critical time of descent."
